页签,序号,项目名称,分类,上游地址,status,url_type,actual_url,stars,forks,watchers,open_issues_count,total_pull_requests,language,license,created_at,updated_at,pushed_at,size_kb,default_branch,topics,fork,archived,mirror_url,has_issues,note
昇腾,56,ms-swift,训练加速,https://github.com/modelscope/ms-swift,valid,repo,,13625,1338,51,1019,3351,Python,Apache-2.0,2023-08-01T15:06:39Z,2026-04-10T07:44:35Z,2026-04-10T07:44:29Z,79903,main,"deepseek-r1,embedding,grpo,internvl,liger,llama,llama4,llm,lora,megatron,moe,multimodal,open-r1,peft,qwen3,qwen3-5,qwen3-omni,qwen3-vl,reranker,sft",False,False,,True,
昇腾,57,Areal,训练加速,https://github.com/inclusionAI/AReaL,valid,repo,,5011,455,36,62,852,Python,Apache-2.0,2025-02-24T07:23:43Z,2026-04-10T06:43:15Z,2026-04-09T15:29:05Z,126112,main,"agent,llm,llm-agent,llm-reasoning,machine-learning-systems,mlsys,reinforcement-learning,rl",False,False,,True,
昇腾,58,Slime,训练加速,https://github.com/THUDM/slime,valid,repo,,5229,707,17,270,1400,Python,Apache-2.0,2025-06-18T07:15:54Z,2026-04-10T07:12:09Z,2026-04-09T12:29:12Z,251077,main,,False,False,,True,
昇腾,59,ROLL,训练加速,https://github.com/alibaba/ROLL,valid,repo,,3065,266,14,95,197,Python,Apache-2.0,2025-05-28T11:27:18Z,2026-04-10T06:08:18Z,2026-04-10T01:43:43Z,92237,main,"agentic,rlhf,rlvr",False,False,,True,
昇腾,60,speculators,训练加速,https://github.com/vllm-project/speculators,valid,repo,,331,63,8,49,289,Python,Apache-2.0,2025-04-08T20:53:33Z,2026-04-10T01:54:37Z,2026-04-09T21:53:59Z,45775,main,,False,False,,True,
昇腾,61,SpecForge,训练加速,https://github.com/sgl-project/SpecForge,valid,repo,,770,202,7,103,372,Python,MIT,2025-06-09T05:28:34Z,2026-04-10T06:50:29Z,2026-04-02T07:52:00Z,5261,main,"eagle,eagle3,fsdp,llm,pytorch,sglang,training",False,False,,True,
昇腾,62,tensordict,训练加速,https://github.com/pytorch/tensordict,valid,repo,,1019,112,22,109,1459,Python,MIT,2022-10-19T07:37:37Z,2026-04-09T21:42:32Z,2026-04-10T07:38:27Z,253139,main,,False,False,,True,
昇腾,63,torchvision,训练加速,https://github.com/pytorch/vision,valid,repo,,17621,7222,456,1195,5853,Python,BSD-3-Clause,2016-11-09T23:11:43Z,2026-04-10T03:15:48Z,2026-04-09T22:08:59Z,1283117,main,"computer-vision,machine-learning",False,False,,True,
昇腾,64,Liger-Kernel,训练加速,https://github.com/linkedin/Liger-Kernel,valid,repo,,6267,510,55,140,860,Python,BSD-2-Clause,2024-08-06T17:47:52Z,2026-04-10T03:37:15Z,2026-04-08T19:42:02Z,22083,main,"finetuning,gemma2,hacktoberfest,llama,llama3,llm-training,llms,mistral,phi3,triton,triton-kernels",False,False,,True,
昇腾,65,flash-linear-attention,训练加速,https://github.com/fla-org/flash-linear-attention,valid,repo,,4840,485,33,61,486,Python,MIT,2023-12-20T06:50:18Z,2026-04-10T07:14:12Z,2026-04-08T07:10:11Z,7292,main,"large-language-models,machine-learning-systems,natural-language-processing,sequence-modeling",False,False,,True,
