页签,序号,项目名称,分类,上游地址,仓库是否删除,entity_type
鲲鹏,56,Kylin,大数据,https://github.com/apache/kylin,,repo
鲲鹏,57,Accumulo,大数据,https://github.com/apache/accumulo,,repo
鲲鹏,58,Avro,大数据,https://github.com/apache/avro,,repo
鲲鹏,59,logstash,大数据,https://github.com/elastic/logstash,,repo
鲲鹏,60,Kibana,大数据,https://github.com/elastic/kibana,,repo
鲲鹏,61,Knox,大数据,https://github.com/Automattic/knox,,repo
鲲鹏,62,Pig,大数据,https://github.com/apache/pig,,repo
鲲鹏,63,Atlas,大数据,https://github.com/apache/atlas,,repo
鲲鹏,64,Livy,大数据,https://github.com/apache/incubator-livy,,repo
鲲鹏,65,Parquet,大数据,https://github.com/apache/parquet-java/,,repo
鲲鹏,66,Mesos,大数据,https://github.com/apache/mesos,,repo
鲲鹏,67,Thrift,大数据,https://github.com/apache/thrift,,repo
鲲鹏,68,Drill,大数据,https://github.com/apache/drill,,repo
鲲鹏,69,Druid,大数据,https://github.com/apache/druid,,repo
鲲鹏,70,Phoenix,大数据,https://github.com/apache/phoenix,,repo
鲲鹏,71,Lucene,大数据,https://github.com/apache/lucene,,repo
鲲鹏,72,TDengine,大数据,https://github.com/taosdata/TDengine,,repo
鲲鹏,73,Arrow,大数据,https://github.com/apache/arrow,,repo
鲲鹏,74,Kudu,大数据,https://github.com/apache/kudu,,repo
鲲鹏,75,Kyuubi,大数据,https://github.com/apache/kyuubi,,repo
鲲鹏,76,Ceph,分布式存储,https://github.com/ceph/ceph,,repo
鲲鹏,77,GlusterFS,分布式存储,https://github.com/gluster/glusterfs,,repo
鲲鹏,78,Lustre,分布式存储,https://git.whamcloud.com/,,unknown
鲲鹏,79,FastDFS,分布式存储,https://github.com/greduan/emacs-theme-gruvbox,,repo
鲲鹏,80,MinIO,分布式存储,https://github.com/minio/minio,,repo
鲲鹏,81,MooseFS,分布式存储,https://github.com/moosefs/moosefs,,repo
鲲鹏,82,LizardFS,分布式存储,https://github.com/lizardfs/lizardfs,,repo
鲲鹏,83,Sheepdog,分布式存储,https://github.com/sheepdog/sheepdog,,repo
鲲鹏,84,DRBD,分布式存储,https://github.com/LINBIT/drbd,,repo
鲲鹏,85,DAOS,分布式存储,https://github.com/daos-stack/daos,,repo
鲲鹏,86,CURVE,分布式存储,https://github.com/opencurve/curve,,repo
鲲鹏,87,SeaweedFS,分布式存储,https://github.com/seaweedfs/seaweedfs,,repo
鲲鹏,88,Docker,虚拟化,https://github.com/nextcloud/docker,,repo
鲲鹏,89,Kubernetes,虚拟化,https://github.com/kubernetes/kubernetes,,repo
鲲鹏,90,libvirt,虚拟化,https://github.com/libvirt/libvirt,,repo
鲲鹏,91,OpenStack,虚拟化,https://opendev.org/openstack/openstack,,repo
鲲鹏,92,KVM,虚拟化,https://git.kernel.org/pub/scm/virt/kvm/kvm.git,,repo
鲲鹏,93,Open vSwitch,虚拟化,https://github.com/openvswitch/ovs,,repo
鲲鹏,94,QEMU,虚拟化,https://gitlab.com/qemu-project/qemu,,repo
鲲鹏,95,Ovirt,虚拟化,https://github.com/oVirt/ovirt-engine,,repo
鲲鹏,96,Stratovirt,虚拟化,https://atomgit.com/openeuler/stratovirt,,repo
鲲鹏,97,Calico,虚拟化,https://github.com/projectcalico/calico,,repo
鲲鹏,98,Flannel,虚拟化,https://github.com/flannel-io/flannel,,repo
鲲鹏,99,CoreDNS,虚拟化,https://github.com/coredns/coredns,,repo
鲲鹏,100,Containerd,虚拟化,https://github.com/containerd/containerd,,repo
鲲鹏,101,Prometheus,虚拟化,https://github.com/prometheus/prometheus,,repo
鲲鹏,102,lstio,虚拟化,https://github.com/istio/istio,,repo
鲲鹏,103,Envoy,虚拟化,https://github.com/envoyproxy/envoy,,repo
鲲鹏,104,iSula,虚拟化,https://atomgit.com/openeuler/iSulad,,repo
鲲鹏,105,harbor,虚拟化,https://github.com/goharbor/harbor,,repo
鲲鹏,106,Apache HTTP Server,Web,https://github.com/apache/httpd,,repo
鲲鹏,107,Tomcat,Web,https://github.com/apache/tomcat,,repo
鲲鹏,108,Varnish,Web,https://github.com/varnishcache/varnish-cache,,repo
鲲鹏,109,JBOSS,Web,https://github.com/wildfly/wildfly,,repo
鲲鹏,110,HAProxy,Web,https://github.com/haproxy/haproxy,,repo
鲲鹏,111,Memcached,Web,https://github.com/memcached/memcached,,repo
鲲鹏,112,Nginx,Web,https://github.com/nginx/nginx,,repo
鲲鹏,113,.NET Core,Web,https://github.com/dotnet/core,,repo
鲲鹏,114,ATS,Web,https://github.com/apache/trafficserver,,repo
鲲鹏,115,Jetty,Web,https://github.com/jetty/jetty.project,,repo
鲲鹏,116,Keepalived,Web,https://github.com/acassen/keepalived,,repo
